"regions","indicators","banks","currency-type","monthly-income","insurance-companies","type-of-insurance","economic-activity","countries","foreign-currency","assets","liabilities","Unit","Date","Value"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M11","17325200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2021M12","17300100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2022M1","17268700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2022M2","17419500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2022M3","17491800000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2022M4","17246000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M1","15256500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M2","15379700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M3","15595500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M4","15844900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M5","15914000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M6","15914000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M7","16396500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M8","16282700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M9","16511300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M10","16588000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M11","16816000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M12","16898300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M1","16946400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M2","17137200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M3","17406700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M4","17521500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M5","17447700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M6","17823800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M7","17897300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M8","18008600000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M9","18168900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M10","18319800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M11","20029300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M12","20097700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M1","20259800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M2","20544600000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M3","20980300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M4","21114500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M5","21315000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M6","2145200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M7","21522800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M8","21678900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M9","21834700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M10","21915200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M11","21953500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2016M12","22130500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M1","22059100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M2","22205700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M3","22351200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M4","22407300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M5","22543200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M6","22858800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M7","22832200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M8","22961700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M9","23078700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M10","23267900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M11","23548800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2017M12","23550400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M1","23677400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M2","23823400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M3","24085700000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M4","24129500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M5","24071100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M6","24262400000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M7","24265200000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M8","24698100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M9","24815900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M10","24900000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M11","25073100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2018M12","25057600000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M1","25115000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M2","25290600000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M3","25454500000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M4","25578800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M5","25690800000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M6","25701900000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M7","25745100000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M8","25765000000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M9","25859300000"
"Oman","Total Credit","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2019M10","25872400000"
